column,missing_count,missing_pct
country,0,0.0
location_name,0,0.0
latitude,0,0.0
longitude,0,0.0
timezone,0,0.0
last_updated_epoch,0,0.0
last_updated,0,0.0
temperature_celsius,0,0.0
temperature_fahrenheit,0,0.0
condition_text,0,0.0
wind_mph,0,0.0
wind_kph,0,0.0
wind_degree,0,0.0
wind_direction,0,0.0
pressure_mb,0,0.0
pressure_in,0,0.0
precip_mm,0,0.0
precip_in,0,0.0
humidity,0,0.0
cloud,0,0.0
feels_like_celsius,0,0.0
feels_like_fahrenheit,0,0.0
visibility_km,0,0.0
visibility_miles,0,0.0
uv_index,0,0.0
gust_mph,0,0.0
gust_kph,0,0.0
air_quality_Carbon_Monoxide,0,0.0
air_quality_Ozone,0,0.0
air_quality_Nitrogen_dioxide,0,0.0
air_quality_Sulphur_dioxide,0,0.0
air_quality_PM2.5,0,0.0
air_quality_PM10,0,0.0
air_quality_us-epa-index,0,0.0
air_quality_gb-defra-index,0,0.0
sunrise,0,0.0
sunset,0,0.0
moonrise,0,0.0
moonset,0,0.0
moon_phase,0,0.0
moon_illumination,0,0.0
